word,freq
teacher,1269
lived,1267
below,1266
expect,1263
billion,1263
check,1262
center,1262
green,1262
ideas,1262
China,1259
sitting,1259
Two,1255
sea,1254
purpose,1254
consider,1253
arm,1253
opinion,1252
performance,1251
safe,1251
sit,1250
key,1249
sign,1249
respect,1247
statement,1247
standing,1247
approach,1246
trouble,1245
Court,1245
played,1243
French,1243
greater,1242
financial,1242
recently,1241
seeing,1239
hundred,1238
risk,1238
paid,1237
reach,1237
Europe,1235
design,1235
fell,1235
sleep,1234
earlier,1232
huge,1232
required,1230
potential,1230
population,1230
Clinton,1228
everybody,1228
created,1228
Mary,1228
peace,1227
spoke,1226
seven,1225
June,1224
author,1224
Since,1220
continued,1220
lines,1218
hurt,1217
quality,1215
caught,1215
straight,1214
religious,1212
round,1211
size,1211
send,1206
choice,1205
influence,1205
opportunity,1203
immediately,1203
laws,1202
parts,1201
telling,1199
doctor,1196
allowed,1196
Senate,1195
places,1194
visit,1192
Great,1190
term,1189
San,1186
project,1185
dog,1184
attack,1183
speech,1183
spend,1182
returned,1181
earth,1181
type,1181
levels,1180
married,1180
provided,1179
rule,1177
member,1177
pain,1174
growing,1173
dollars,1173
Please,1172
November,1171
eight,1171
movement,1169
press,1169
director,1169
understanding,1169
jobs,1168
cancer,1167
gives,1165
trade,1164
leaving,1163
St.,1161
won,1161
charge,1159
search,1158
suddenly,1158
....,1158
studies,1154
international,1152
mine,1149
content,1145
happens,1144
clearly,1143
loss,1143
training,1143
pressure,1143
Have,1142
older,1142
production,1142
raised,1141
Bush,1140
lay,1139
Their,1138
interested,1138
sun,1137
games,1136
positive,1133
appeared,1130
plans,1130
events,1129
talked,1129
indeed,1129
Street,1128
heavy,1125
loved,1125
lack,1123
video,1123
significant,1122
families,1122
tonight,1122
somebody,1121
lose,1119
patients,1117
fast,1117
areas,1116
response,1116
administration,1115
add,1114
asking,1113
message,1112
forces,1111
afraid,1111
holding,1110
fair,1109
chair,1108
Center,1107
helped,1107
technology,1107
bill,1106
specific,1106
ability,1105
Those,1104
workers,1104
century,1104
listen,1103
lady,1103
rules,1103
calls,1103
stars,1102
dear,1101
explain,1101
conditions,1100
yeah,1099
property,1099
wonder,1099
born,1099
afternoon,1097
focus,1097
treatment,1097
addition,1094
seat,1094
closed,1093
smile,1092
event,1092
drug,1091
Sunday,1091
Yet,1089
increased,1086
costs,1085
glass,1085
store,1082
source,1082
pick,1082
sex,1081
More,1079
allow,1079
numbers,1077
cover,1077
sister,1077
thank,1076
players,1076
leaders,1075
object,1073
generally,1072
East,1072
rich,1070
included,1070
kitchen,1069
Christmas,1069
cars,1068
image,1067
Paul,1066
shown,1066
stock,1064
none,1063
Joe,1062
majority,1062
scene,1062
ball,1061
Japanese,1060
County,1059
clean,1059
star,1058
easily,1058
conversation,1058
theory,1057
slowly,1055
wide,1054
build,1054
Johnson,1053
reality,1053
kid,1053
leading,1053
modern,1051
Republicans,1049
growth,1049
steps,1048
</p>,1047
stage,1046
worse,1046
popular,1044
politics,1042
chief,1042
medical,1042
carried,1041
box,1040
Chicago,1039
Perhaps,1038
cool,1037
Only,1034
horse,1034
weight,1034
credit,1034
direction,1034
ship,1033
standard,1033
Chinese,1032
onto,1030
remain,1030
gun,1029
trust,1028
directly,1027
access,1027
glad,1025
efforts,1025
clothes,1025
touch,1025
corner,1023
address,1021
King,1021
Government,1020
wind,1017
